City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Orocue,CO,4.7912,-71.3354,80.17,73,82,3.24,broken clouds
322,Victor Harbor,AU,-35.5667,138.6167,55.69,93,100,2.42,light rain
323,Rio Novo,BR,-21.4575,-43.1253,67.41,67,100,5.12,overcast clouds
324,San Felipe,VE,10.3399,-68.7425,81.57,71,100,0.58,overcast clouds
325,Aksarka,RU,66.5606,67.7975,32.9,62,81,10.89,broken clouds
326,Shimoda,JP,34.6667,138.95,71.1,78,84,8.55,broken clouds
327,Coalinga,US,36.1397,-120.3602,62.85,32,0,0.65,clear sky
328,Lander,US,42.833,-108.7307,57.79,70,0,3.44,clear sky
329,Tebingtinggi,ID,3.3285,99.1625,76.59,93,99,0.96,overcast clouds
330,Mogadishu,SO,2.0371,45.3438,84.07,70,40,14.97,scattered clouds
331,Khanpur,PK,28.6453,70.6567,95.36,26,0,8.93,clear sky
332,Dalby,AU,-27.1833,151.2667,55.98,64,0,6.76,clear sky
333,Sarangani,PH,5.4033,125.4636,81.93,79,100,14.0,overcast clouds
334,Paciran,ID,-6.8767,112.3761,82.76,74,100,6.42,overcast clouds
335,Aktas,KZ,49.7789,72.9608,72.39,25,100,7.07,overcast clouds
336,Kuldur,RU,49.2167,131.6333,49.6,95,63,4.5,broken clouds
337,Warwick,US,41.7001,-71.4162,61.45,82,75,5.75,broken clouds
338,Shizilu,CN,35.1711,118.8289,62.78,76,99,4.45,overcast clouds
339,Novopavlovka,RU,51.2172,109.2091,39.45,66,100,1.52,overcast clouds
340,Nome,US,64.5011,-165.4064,39.27,93,75,3.44,broken clouds
341,San Policarpo,PH,12.1791,125.5072,79.54,84,100,6.24,overcast clouds
342,Mount Gambier,AU,-37.8333,140.7667,49.87,91,100,2.62,light rain
343,Mbandaka,CD,0.0487,18.2603,86.34,52,100,0.51,overcast clouds
344,Scottsbluff,US,41.8666,-103.6672,44.83,76,0,8.05,clear sky
345,Penzance,GB,50.1186,-5.5371,64.76,66,100,8.61,overcast clouds
